Period,Provider Org Name,WaitCategory,Patients
2025-04-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Other,119326.0
2025-04-01,ASHTEAD HOSPITAL,0-18 Weeks,374.0
2025-04-01,ASHTEAD HOSPITAL,18-52 Weeks,94.0
2025-04-01,ASHTEAD HOSPITAL,52+ Weeks,6.0
2025-04-01,ASHTEAD HOSPITAL,Other,2022.0
2025-04-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0-18 Weeks,28734.0
2025-04-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",18-52 Weeks,6092.0
2025-04-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",52+ Weeks,320.0
2025-04-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Other,120432.0
2025-04-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,12606.0
2025-04-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,2980.0
2025-04-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,244.0
2025-04-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Other,53516.0
2025-04-01,BARTS HEALTH NHS TRUST,0-18 Weeks,44540.0
2025-04-01,BARTS HEALTH NHS TRUST,18-52 Weeks,14118.0
2025-04-01,BARTS HEALTH NHS TRUST,52+ Weeks,1780.0
2025-04-01,BARTS HEALTH NHS TRUST,Other,259508.0
2025-04-01,BATH CLINIC,0-18 Weeks,274.0
2025-04-01,BATH CLINIC,18-52 Weeks,106.0
2025-04-01,BATH CLINIC,52+ Weeks,0.0
2025-04-01,BATH CLINIC,Other,2006.0
2025-04-01,BEACON MEDICAL SERVICES GROUP LIMITED,0-18 Weeks,346.0
2025-04-01,BEACON MEDICAL SERVICES GROUP LIMITED,18-52 Weeks,4.0
2025-04-01,BEACON MEDICAL SERVICES GROUP LIMITED,52+ Weeks,0.0
2025-04-01,BEACON MEDICAL SERVICES GROUP LIMITED,Other,456.0
2025-04-01,BEACON PARK HOSPITAL,0-18 Weeks,544.0
2025-04-01,BEACON PARK HOSPITAL,18-52 Weeks,112.0
2025-04-01,BEACON PARK HOSPITAL,52+ Weeks,0.0
2025-04-01,BEACON PARK HOSPITAL,Other,1944.0
2025-04-01,BEARDWOOD HOSPITAL,0-18 Weeks,1200.0
2025-04-01,BEARDWOOD HOSPITAL,18-52 Weeks,282.0
2025-04-01,BEARDWOOD HOSPITAL,52+ Weeks,0.0
2025-04-01,BEARDWOOD HOSPITAL,Other,6724.0
2025-04-01,BEAUMONT HOSPITAL,0-18 Weeks,1180.0
2025-04-01,BEAUMONT HOSPITAL,18-52 Weeks,312.0
2025-04-01,BEAUMONT HOSPITAL,52+ Weeks,2.0
2025-04-01,BEAUMONT HOSPITAL,Other,5314.0
2025-04-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,31430.0
2025-04-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,10766.0
2025-04-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,1086.0
2025-04-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Other,200074.0
2025-04-01,BENENDEN HOSPITAL,0-18 Weeks,680.0
2025-04-01,BENENDEN HOSPITAL,18-52 Weeks,112.0
2025-04-01,BENENDEN HOSPITAL,52+ Weeks,18.0
2025-04-01,BENENDEN HOSPITAL,Other,3426.0
2025-04-01,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0-18 Weeks,22.0
2025-04-01,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,18-52 Weeks,0.0
2025-04-01,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,52+ Weeks,0.0
2025-04-01,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Other,224.0
2025-04-01,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0-18 Weeks,7402.0
2025-04-01,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,18-52 Weeks,1776.0
2025-04-01,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,52+ Weeks,50.0
2025-04-01,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Other,31052.0
2025-04-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0-18 Weeks,11248.0
2025-04-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,18-52 Weeks,3172.0
2025-04-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,52+ Weeks,118.0
2025-04-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Other,57068.0
2025-04-01,BISHOPS WOOD HOSPITAL,0-18 Weeks,360.0
2025-04-01,BISHOPS WOOD HOSPITAL,18-52 Weeks,80.0
2025-04-01,BISHOPS WOOD HOSPITAL,52+ Weeks,0.0
2025-04-01,BISHOPS WOOD HOSPITAL,Other,1248.0
2025-04-01,BLACKHEATH HOSPITAL,0-18 Weeks,640.0
2025-04-01,BLACKHEATH HOSPITAL,18-52 Weeks,184.0
2025-04-01,BLACKHEATH HOSPITAL,52+ Weeks,12.0
2025-04-01,BLACKHEATH HOSPITAL,Other,3210.0
2025-04-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,12310.0
2025-04-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,3904.0
2025-04-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,426.0
2025-04-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Other,75122.0
2025-04-01,BLAKELANDS HOSPITAL,0-18 Weeks,1112.0
2025-04-01,BLAKELANDS HOSPITAL,18-52 Weeks,192.0
2025-04-01,BLAKELANDS HOSPITAL,52+ Weeks,0.0
2025-04-01,BLAKELANDS HOSPITAL,Other,4712.0
2025-04-01,BOLTON NHS FOUNDATION TRUST,0-18 Weeks,14978.0
2025-04-01,BOLTON NHS FOUNDATION TRUST,18-52 Weeks,4278.0
2025-04-01,BOLTON NHS FOUNDATION TRUST,52+ Weeks,572.0
2025-04-01,BOLTON NHS FOUNDATION TRUST,Other,78574.0
2025-04-01,BOSTON WEST HOSPITAL,0-18 Weeks,576.0
2025-04-01,BOSTON WEST HOSPITAL,18-52 Weeks,142.0
2025-04-01,BOSTON WEST HOSPITAL,52+ Weeks,6.0
2025-04-01,BOSTON WEST HOSPITAL,Other,3388.0
2025-04-01,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0-18 Weeks,294.0
2025-04-01,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,18-52 Weeks,46.0
2025-04-01,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,52+ Weeks,2.0
2025-04-01,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Other,1198.0
2025-04-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,16114.0
2025-04-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,3910.0
2025-04-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,138.0
2025-04-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Other,70994.0
2025-04-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0-18 Weeks,18764.0
2025-04-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,18-52 Weeks,5858.0
2025-04-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,52+ Weeks,556.0
2025-04-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Other,109878.0
2025-04-01,BUCKSHAW HOSPITAL,0-18 Weeks,1046.0
2025-04-01,BUCKSHAW HOSPITAL,18-52 Weeks,284.0
2025-04-01,BUCKSHAW HOSPITAL,52+ Weeks,28.0
2025-04-01,BUCKSHAW HOSPITAL,Other,6294.0
2025-04-01,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,0-18 Weeks,20240.0
2025-04-01,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,18-52 Weeks,4224.0
2025-04-01,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,52+ Weeks,32.0
2025-04-01,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Other,76646.0
2025-04-01,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,29136.0
2025-04-01,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,7718.0
2025-04-01,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,1028.0
2025-04-01,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Other,139900.0
2025-04-01,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0-18 Weeks,100.0
2025-04-01,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,18-52 Weeks,16.0
2025-04-01,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,52+ Weeks,4.0
2025-04-01,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Other,632.0
2025-04-01,CARE PLUS GROUP,0-18 Weeks,234.0
2025-04-01,CARE PLUS GROUP,18-52 Weeks,12.0
2025-04-01,CARE PLUS GROUP,52+ Weeks,0.0
2025-04-01,CARE PLUS GROUP,Other,510.0
2025-04-01,CAVELL HOSPITAL,0-18 Weeks,606.0
2025-04-01,CAVELL HOSPITAL,18-52 Weeks,134.0
2025-04-01,CAVELL HOSPITAL,52+ Weeks,0.0
2025-04-01,CAVELL HOSPITAL,Other,2574.0
2025-04-01,CHAUCER HOSPITAL,0-18 Weeks,532.0
2025-04-01,CHAUCER HOSPITAL,18-52 Weeks,62.0
2025-04-01,CHAUCER HOSPITAL,52+ Weeks,2.0
2025-04-01,CHAUCER HOSPITAL,Other,2044.0
2025-04-01,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,25308.0
2025-04-01,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,7618.0
2025-04-01,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,500.0
2025-04-01,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Other,137730.0
2025-04-01,CHELSFIELD PARK HOSPITAL,0-18 Weeks,346.0
2025-04-01,CHELSFIELD PARK HOSPITAL,18-52 Weeks,42.0
2025-04-01,CHELSFIELD PARK HOSPITAL,52+ Weeks,2.0
2025-04-01,CHELSFIELD PARK HOSPITAL,Other,1562.0
2025-04-01,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,11322.0
2025-04-01,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,3430.0
2025-04-01,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,460.0
2025-04-01,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Other,64252.0
2025-04-01,CHILTERN HOSPITAL,0-18 Weeks,220.0
2025-04-01,CHILTERN HOSPITAL,18-52 Weeks,40.0
2025-04-01,CHILTERN HOSPITAL,52+ Weeks,0.0
2025-04-01,CHILTERN HOSPITAL,Other,1218.0
2025-04-01,CIRCLE READING HOSPITAL,0-18 Weeks,706.0
2025-04-01,CIRCLE READING HOSPITAL,18-52 Weeks,204.0
2025-04-01,CIRCLE READING HOSPITAL,52+ Weeks,4.0
2025-04-01,CIRCLE READING HOSPITAL,Other,3558.0
2025-04-01,CLAREMONT PRIVATE HOSPITAL,0-18 Weeks,1020.0
2025-04-01,CLAREMONT PRIVATE HOSPITAL,18-52 Weeks,306.0
2025-04-01,CLAREMONT PRIVATE HOSPITAL,52+ Weeks,4.0
2025-04-01,CLAREMONT PRIVATE HOSPITAL,Other,5262.0
2025-04-01,CLEMENTINE CHURCHILL HOSPITAL,0-18 Weeks,1174.0
2025-04-01,CLEMENTINE CHURCHILL HOSPITAL,18-52 Weeks,8.0
2025-04-01,CLEMENTINE CHURCHILL HOSPITAL,52+ Weeks,0.0
2025-04-01,CLEMENTINE CHURCHILL HOSPITAL,Other,3928.0
2025-04-01,CLIFTON PARK HOSPITAL,0-18 Weeks,446.0
2025-04-01,CLIFTON PARK HOSPITAL,18-52 Weeks,202.0
2025-04-01,CLIFTON PARK HOSPITAL,52+ Weeks,18.0
2025-04-01,CLIFTON PARK HOSPITAL,Other,3124.0
2025-04-01,COBALT HOSPITAL,0-18 Weeks,682.0
2025-04-01,COBALT HOSPITAL,18-52 Weeks,188.0
2025-04-01,COBALT HOSPITAL,52+ Weeks,10.0
2025-04-01,COBALT HOSPITAL,Other,4322.0
2025-04-01,COMMUNITAS CLINICS,0-18 Weeks,2760.0
2025-04-01,COMMUNITAS CLINICS,18-52 Weeks,728.0
2025-04-01,COMMUNITAS CLINICS,52+ Weeks,4.0
2025-04-01,COMMUNITAS CLINICS,Other,15688.0
2025-04-01,COMMUNITY HEALTH AND EYECARE LIMITED,0-18 Weeks,7510.0
2025-04-01,COMMUNITY HEALTH AND EYECARE LIMITED,18-52 Weeks,196.0
2025-04-01,COMMUNITY HEALTH AND EYECARE LIMITED,52+ Weeks,8.0
2025-04-01,COMMUNITY HEALTH AND EYECARE LIMITED,Other,9874.0
2025-04-01,CONNECT HEALTH LIMITED,0-18 Weeks,17314.0
2025-04-01,CONNECT HEALTH LIMITED,18-52 Weeks,874.0
2025-04-01,CONNECT HEALTH LIMITED,52+ Weeks,0.0
2025-04-01,CONNECT HEALTH LIMITED,Other,25986.0
2025-04-01,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0-18 Weeks,322.0
2025-04-01,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,18-52 Weeks,2.0
2025-04-01,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,52+ Weeks,0.0
2025-04-01,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Other,1228.0
2025-04-01,COTSWOLDS SURGICAL PARTNERS,0-18 Weeks,350.0
2025-04-01,COTSWOLDS SURGICAL PARTNERS,18-52 Weeks,6.0
2025-04-01,COTSWOLDS SURGICAL PARTNERS,52+ Weeks,0.0
2025-04-01,COTSWOLDS SURGICAL PARTNERS,Other,562.0
2025-04-01,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,12066.0
2025-04-01,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,3786.0
2025-04-01,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,788.0
2025-04-01,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Other,78522.0
2025-04-01,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,0-18 Weeks,16026.0
2025-04-01,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,18-52 Weeks,4150.0
2025-04-01,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,52+ Weeks,216.0
2025-04-01,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Other,90332.0
2025-04-01,CROYDON HEALTH SERVICES NHS TRUST,0-18 Weeks,15840.0
2025-04-01,CROYDON HEALTH SERVICES NHS TRUST,18-52 Weeks,3222.0
2025-04-01,CROYDON HEALTH SERVICES NHS TRUST,52+ Weeks,356.0
2025-04-01,CROYDON HEALTH SERVICES NHS TRUST,Other,70570.0
2025-04-01,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",0-18 Weeks,214.0
2025-04-01,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",18-52 Weeks,4.0
2025-04-01,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",52+ Weeks,0.0
2025-04-01,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",Other,400.0
2025-04-01,DARTFORD AND GRAVESHAM NHS TRUST,0-18 Weeks,14252.0
2025-04-01,DARTFORD AND GRAVESHAM NHS TRUST,18-52 Weeks,3910.0
2025-04-01,DARTFORD AND GRAVESHAM NHS TRUST,52+ Weeks,384.0
2025-04-01,DARTFORD AND GRAVESHAM NHS TRUST,Other,70936.0
2025-04-01,DMC DERMATOLOGY,0-18 Weeks,238.0
2025-04-01,DMC DERMATOLOGY,18-52 Weeks,0.0
2025-04-01,DMC DERMATOLOGY,52+ Weeks,0.0
2025-04-01,DMC DERMATOLOGY,Other,214.0
2025-04-01,DMC HEALTHCARE,0-18 Weeks,3154.0
2025-04-01,DMC HEALTHCARE,18-52 Weeks,10.0
2025-04-01,DMC HEALTHCARE,52+ Weeks,2.0
2025-04-01,DMC HEALTHCARE,Other,5654.0
2025-04-01,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,22664.0
2025-04-01,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,6066.0
2025-04-01,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,658.0
2025-04-01,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Other,118390.0
2025-04-01,DORKING HEALTHCARE LIMITED (DHC),0-18 Weeks,2766.0
2025-04-01,DORKING HEALTHCARE LIMITED (DHC),18-52 Weeks,424.0
2025-04-01,DORKING HEALTHCARE LIMITED (DHC),52+ Weeks,2.0
2025-04-01,DORKING HEALTHCARE LIMITED (DHC),Other,11462.0
2025-04-01,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,9844.0
2025-04-01,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,2698.0
2025-04-01,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,326.0
2025-04-01,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Other,50106.0
2025-04-01,DROITWICH SPA HOSPITAL,0-18 Weeks,544.0
2025-04-01,DROITWICH SPA HOSPITAL,18-52 Weeks,204.0
2025-04-01,DROITWICH SPA HOSPITAL,52+ Weeks,2.0
2025-04-01,DROITWICH SPA HOSPITAL,Other,4772.0
2025-04-01,DUCHY HOSPITAL,0-18 Weeks,606.0
2025-04-01,DUCHY HOSPITAL,18-52 Weeks,338.0
2025-04-01,DUCHY HOSPITAL,52+ Weeks,18.0
2025-04-01,DUCHY HOSPITAL,Other,5380.0
2025-04-01,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0-18 Weeks,23228.0
2025-04-01,EAST AND NORTH HERTFORDSHIRE NHS TRUST,18-52 Weeks,6002.0
2025-04-01,EAST AND NORTH HERTFORDSHIRE NHS TRUST,52+ Weeks,434.0
2025-04-01,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Other,114044.0
2025-04-01,EAST CHESHIRE NHS TRUST,0-18 Weeks,6126.0
2025-04-01,EAST CHESHIRE NHS TRUST,18-52 Weeks,1690.0
2025-04-01,EAST CHESHIRE NHS TRUST,52+ Weeks,114.0
2025-04-01,EAST CHESHIRE NHS TRUST,Other,27532.0
2025-04-01,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0-18 Weeks,28536.0
2025-04-01,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,18-52 Weeks,9878.0
2025-04-01,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,52+ Weeks,1464.0
2025-04-01,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Other,183952.0
2025-04-01,EAST LANCASHIRE HOSPITALS NHS TRUST,0-18 Weeks,17770.0
2025-04-01,EAST LANCASHIRE HOSPITALS NHS TRUST,18-52 Weeks,6494.0
2025-04-01,EAST LANCASHIRE HOSPITALS NHS TRUST,52+ Weeks,1062.0
2025-04-01,EAST LANCASHIRE HOSPITALS NHS TRUST,Other,127734.0
2025-04-01,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,0-18 Weeks,32844.0
2025-04-01,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,18-52 Weeks,10420.0
2025-04-01,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,52+ Weeks,1672.0
2025-04-01,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Other,194888.0
2025-04-01,EAST SUSSEX HEALTHCARE NHS TRUST,0-18 Weeks,26498.0
2025-04-01,EAST SUSSEX HEALTHCARE NHS TRUST,18-52 Weeks,6302.0
2025-04-01,EAST SUSSEX HEALTHCARE NHS TRUST,52+ Weeks,518.0
2025-04-01,EAST SUSSEX HEALTHCARE NHS TRUST,Other,130160.0
2025-04-01,EDGBASTON HOSPITAL,0-18 Weeks,2.0
2025-04-01,EDGBASTON HOSPITAL,18-52 Weeks,0.0
2025-04-01,EDGBASTON HOSPITAL,52+ Weeks,0.0
2025-04-01,EDGBASTON HOSPITAL,Other,0.0
2025-04-01,ENDOCARE DIAGNOSTICS LTD,0-18 Weeks,546.0
2025-04-01,ENDOCARE DIAGNOSTICS LTD,18-52 Weeks,0.0
2025-04-01,ENDOCARE DIAGNOSTICS LTD,52+ Weeks,0.0
2025-04-01,ENDOCARE DIAGNOSTICS LTD,Other,130.0
2025-04-01,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,0-18 Weeks,19196.0
2025-04-01,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,18-52 Weeks,5744.0
2025-04-01,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,52+ Weeks,352.0
2025-04-01,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Other,101398.0
2025-04-01,EPSOMEDICAL GROUP,0-18 Weeks,2194.0
2025-04-01,EPSOMEDICAL GROUP,18-52 Weeks,296.0
2025-04-01,EPSOMEDICAL GROUP,52+ Weeks,8.0
2025-04-01,EPSOMEDICAL GROUP,Other,7052.0
2025-04-01,EUXTON HALL HOSPITAL,0-18 Weeks,1258.0
2025-04-01,EUXTON HALL HOSPITAL,18-52 Weeks,316.0
2025-04-01,EUXTON HALL HOSPITAL,52+ Weeks,28.0
2025-04-01,EUXTON HALL HOSPITAL,Other,6458.0
2025-04-01,EXETER MEDICAL,0-18 Weeks,74.0
2025-04-01,EXETER MEDICAL,18-52 Weeks,22.0
2025-04-01,EXETER MEDICAL,52+ Weeks,0.0
2025-04-01,EXETER MEDICAL,Other,830.0
2025-04-01,EYE CARE MEDICAL LTD,0-18 Weeks,50.0
2025-04-01,EYE CARE MEDICAL LTD,18-52 Weeks,0.0
2025-04-01,EYE CARE MEDICAL LTD,52+ Weeks,0.0
2025-04-01,EYE CARE MEDICAL LTD,Other,0.0
2025-04-01,FAIRFIELD INDEPENDENT HOSPITAL,0-18 Weeks,800.0
2025-04-01,FAIRFIELD INDEPENDENT HOSPITAL,18-52 Weeks,208.0
2025-04-01,FAIRFIELD INDEPENDENT HOSPITAL,52+ Weeks,0.0
2025-04-01,FAIRFIELD INDEPENDENT HOSPITAL,Other,5618.0
2025-04-01,FIRST COMMUNITY HEALTH AND CARE CIC,0-18 Weeks,980.0
2025-04-01,FIRST COMMUNITY HEALTH AND CARE CIC,18-52 Weeks,10.0
2025-04-01,FIRST COMMUNITY HEALTH AND CARE CIC,52+ Weeks,0.0
2025-04-01,FIRST COMMUNITY HEALTH AND CARE CIC,Other,1338.0
2025-04-01,FITZWILLIAM HOSPITAL,0-18 Weeks,1684.0
2025-04-01,FITZWILLIAM HOSPITAL,18-52 Weeks,678.0
2025-04-01,FITZWILLIAM HOSPITAL,52+ Weeks,54.0
2025-04-01,FITZWILLIAM HOSPITAL,Other,11698.0
2025-04-01,FRIMLEY HEALTH NHS FOUNDATION TRUST,0-18 Weeks,26772.0
2025-04-01,FRIMLEY HEALTH NHS FOUNDATION TRUST,18-52 Weeks,8846.0
2025-04-01,FRIMLEY HEALTH NHS FOUNDATION TRUST,52+ Weeks,1346.0
2025-04-01,FRIMLEY HEALTH NHS FOUNDATION TRUST,Other,167008.0
2025-04-01,FULWOOD HALL HOSPITAL,0-18 Weeks,2228.0
2025-04-01,FULWOOD HALL HOSPITAL,18-52 Weeks,600.0
2025-04-01,FULWOOD HALL HOSPITAL,52+ Weeks,32.0
2025-04-01,FULWOOD HALL HOSPITAL,Other,11918.0
2025-04-01,GATESHEAD HEALTH NHS FOUNDATION TRUST,0-18 Weeks,6938.0
2025-04-01,GATESHEAD HEALTH NHS FOUNDATION TRUST,18-52 Weeks,1482.0
2025-04-01,GATESHEAD HEALTH NHS FOUNDATION TRUST,52+ Weeks,46.0
2025-04-01,GATESHEAD HEALTH NHS FOUNDATION TRUST,Other,28876.0
2025-04-01,GEORGE ELIOT HOSPITAL NHS TRUST,0-18 Weeks,6430.0
2025-04-01,GEORGE ELIOT HOSPITAL NHS TRUST,18-52 Weeks,2392.0
2025-04-01,GEORGE ELIOT HOSPITAL NHS TRUST,52+ Weeks,216.0
2025-04-01,GEORGE ELIOT HOSPITAL NHS TRUST,Other,41516.0
2025-04-01,GLENDON WOOD HOSPITAL,0-18 Weeks,846.0
